,wiek,zawod,stan_cywilny,wyksztalcenie,ma_kredyt,kredyt_mieszkaniowy,ma_pozyczke,sposob_kontaktu,miesiac,day_of_week,dl_polaczenia,liczba_polaczen_aktualnej_kampanii,liczba_dni_od_ost_kontaktu,liczba_polaczen_przed_aktualna_kampania,wynik_poprzedniej_kampanii,wsk_zmien_zatrudnienia,wsk_cen_konsum,wsk_zauf_konsum,euribor3m,liczba_pracownikow,target
3758,37,admin.,married,university.degree,1,1,1,telephone,may,fri,51,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3759,28,unemployed,single,high.school,1,1,1,telephone,may,fri,109,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3761,38,housemaid,married,basic.9y,1,1,1,telephone,may,fri,378,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3763,37,technician,married,high.school,1,0,1,telephone,may,fri,136,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3766,30,admin.,single,university.degree,1,1,1,telephone,may,fri,386,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3767,33,admin.,divorced,high.school,1,0,1,telephone,may,fri,290,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3769,52,technician,married,basic.9y,1,1,1,telephone,may,fri,764,7,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3772,40,admin.,divorced,professional.course,1,1,1,telephone,may,fri,148,18,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3773,35,student,single,high.school,1,1,0,telephone,may,fri,2680,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,1
3775,53,technician,married,high.school,1,1,1,telephone,may,fri,269,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3776,33,blue-collar,married,professional.course,1,0,1,telephone,may,fri,208,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3778,35,technician,married,professional.course,1,1,1,telephone,may,fri,274,8,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3779,33,services,single,high.school,1,1,1,telephone,may,fri,326,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3780,36,services,single,basic.9y,1,0,1,telephone,may,fri,337,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3782,48,blue-collar,married,professional.course,1,1,1,telephone,may,fri,788,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3783,35,admin.,married,university.degree,1,1,1,telephone,may,fri,353,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3784,42,admin.,single,university.degree,1,0,1,telephone,may,fri,14,15,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3785,35,admin.,married,university.degree,1,0,1,telephone,may,fri,698,9,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3786,34,admin.,married,high.school,1,0,0,telephone,may,fri,180,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3787,29,management,single,university.degree,1,0,1,telephone,may,fri,257,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3788,32,admin.,single,university.degree,1,0,1,telephone,may,fri,467,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3789,31,blue-collar,married,basic.9y,1,0,0,telephone,may,fri,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3790,46,blue-collar,married,basic.4y,1,0,1,telephone,may,fri,218,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3791,25,blue-collar,single,basic.4y,1,0,1,telephone,may,fri,304,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3792,28,admin.,single,university.degree,1,0,1,telephone,may,fri,315,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3795,32,technician,divorced,professional.course,1,0,1,telephone,may,fri,76,17,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3796,30,admin.,married,university.degree,1,0,1,telephone,may,fri,355,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3797,32,services,single,high.school,1,1,1,telephone,may,fri,557,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3798,28,services,single,basic.9y,1,0,1,telephone,may,fri,148,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3799,28,blue-collar,married,basic.9y,1,0,1,telephone,may,fri,128,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3800,40,blue-collar,married,basic.6y,1,0,1,telephone,may,fri,130,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3802,38,entrepreneur,married,basic.6y,1,1,1,telephone,may,fri,152,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3803,47,blue-collar,married,basic.4y,1,1,1,telephone,may,fri,283,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3804,37,services,married,high.school,1,1,1,telephone,may,fri,523,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3806,28,admin.,single,university.degree,1,0,1,telephone,may,fri,1128,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3807,43,blue-collar,single,basic.9y,1,0,1,telephone,may,fri,171,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3809,33,management,single,university.degree,1,1,0,telephone,may,fri,71,11,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3810,33,blue-collar,married,basic.9y,1,1,0,telephone,may,fri,84,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3811,35,admin.,divorced,university.degree,1,0,1,telephone,may,fri,221,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3814,29,services,single,university.degree,1,1,1,telephone,may,fri,339,5,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3815,30,self-employed,married,basic.9y,1,0,1,telephone,may,fri,509,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3817,51,retired,married,university.degree,1,0,0,telephone,may,fri,243,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3818,34,blue-collar,married,basic.9y,1,1,1,telephone,may,fri,344,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3821,46,technician,married,basic.9y,1,0,1,telephone,may,fri,1135,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3822,31,technician,married,university.degree,1,1,1,telephone,may,fri,1106,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3824,30,self-employed,single,high.school,1,0,0,telephone,may,fri,292,8,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3825,47,admin.,married,high.school,1,1,1,telephone,may,fri,279,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3826,41,blue-collar,married,high.school,1,0,1,telephone,may,fri,293,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3827,27,services,single,high.school,1,0,0,telephone,may,fri,198,5,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3828,27,blue-collar,divorced,unknown,1,0,1,telephone,may,fri,1408,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3830,32,services,married,high.school,1,1,1,telephone,may,fri,303,5,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3832,37,services,married,high.school,1,1,1,telephone,may,fri,680,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3835,48,technician,married,high.school,1,1,1,telephone,may,fri,251,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3836,36,technician,married,basic.9y,1,1,1,telephone,may,fri,476,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3837,50,management,single,university.degree,1,1,1,telephone,may,fri,81,6,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3838,25,admin.,married,high.school,1,0,1,telephone,may,fri,4,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3842,33,self-employed,single,university.degree,1,0,1,telephone,may,fri,227,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3843,48,admin.,divorced,professional.course,1,0,1,telephone,may,fri,427,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3845,35,management,married,university.degree,1,0,1,telephone,may,fri,408,10,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3846,45,management,married,university.degree,1,1,1,telephone,may,fri,255,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3847,28,admin.,married,high.school,1,0,1,telephone,may,fri,236,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3848,56,entrepreneur,married,university.degree,1,0,1,telephone,may,fri,428,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3850,37,admin.,married,high.school,1,1,0,telephone,may,fri,851,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3851,38,entrepreneur,married,basic.9y,1,1,1,telephone,may,fri,522,5,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3853,57,services,divorced,high.school,1,0,0,telephone,may,fri,1193,5,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,1
3854,23,services,married,basic.9y,1,1,1,telephone,may,fri,1144,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3855,33,admin.,married,high.school,1,0,1,telephone,may,fri,730,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3856,48,blue-collar,married,basic.9y,1,0,1,telephone,may,fri,167,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3859,31,management,married,high.school,1,1,1,telephone,may,fri,385,7,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3860,43,blue-collar,divorced,basic.9y,1,0,1,telephone,may,fri,169,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3861,44,management,married,high.school,1,0,1,telephone,may,fri,409,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3863,33,services,married,high.school,1,1,0,telephone,may,fri,437,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3864,36,admin.,married,basic.9y,1,1,1,telephone,may,fri,89,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3866,30,admin.,married,university.degree,1,1,1,telephone,may,fri,294,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3868,28,admin.,single,high.school,1,1,1,telephone,may,fri,498,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3869,46,blue-collar,married,basic.9y,1,1,0,telephone,may,fri,134,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3870,32,blue-collar,married,basic.4y,1,1,1,telephone,may,fri,230,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3872,24,student,single,university.degree,1,0,0,telephone,may,fri,65,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3873,35,blue-collar,married,basic.4y,1,0,1,telephone,may,fri,237,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3874,31,admin.,single,university.degree,1,1,1,telephone,may,fri,239,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3876,33,admin.,married,university.degree,1,1,1,telephone,may,fri,243,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3877,28,services,single,basic.9y,1,0,1,telephone,may,fri,393,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3879,43,blue-collar,married,basic.6y,1,1,1,telephone,may,fri,218,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3880,33,self-employed,married,university.degree,1,0,1,telephone,may,fri,215,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3881,31,services,married,basic.9y,1,0,1,telephone,may,fri,186,5,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3882,39,admin.,married,professional.course,1,1,1,telephone,may,fri,299,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3883,52,self-employed,married,university.degree,1,0,1,telephone,may,fri,107,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3886,28,blue-collar,married,basic.9y,1,1,0,telephone,may,fri,1064,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,1
3887,28,blue-collar,married,basic.9y,1,1,1,telephone,may,fri,90,7,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3889,39,blue-collar,married,basic.9y,1,1,1,telephone,may,fri,102,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3890,37,technician,married,basic.9y,1,1,1,telephone,may,fri,1110,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3891,51,blue-collar,married,basic.4y,1,1,0,telephone,may,fri,1187,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
3893,53,technician,married,high.school,1,1,0,telephone,may,mon,119,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3894,53,technician,married,unknown,1,0,1,telephone,may,mon,65,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3896,33,services,married,high.school,1,1,1,telephone,may,mon,145,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3897,36,self-employed,single,university.degree,1,0,1,telephone,may,mon,39,6,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3899,43,admin.,divorced,high.school,1,1,1,telephone,may,mon,311,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3903,52,admin.,married,university.degree,1,1,0,telephone,may,mon,134,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3904,36,technician,married,professional.course,1,0,1,telephone,may,mon,594,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3905,35,self-employed,divorced,basic.9y,1,1,0,telephone,may,mon,55,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3906,30,services,married,high.school,1,0,1,telephone,may,mon,92,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3907,30,management,divorced,high.school,1,0,1,telephone,may,mon,19,5,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3909,38,admin.,divorced,high.school,1,0,1,telephone,may,mon,114,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3910,38,blue-collar,married,basic.6y,1,0,1,telephone,may,mon,221,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3911,39,entrepreneur,divorced,university.degree,1,0,1,telephone,may,mon,219,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3912,34,management,married,high.school,1,1,1,telephone,may,mon,221,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3915,32,blue-collar,married,basic.9y,1,0,1,telephone,may,mon,166,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3916,37,blue-collar,single,professional.course,1,1,1,telephone,may,mon,128,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3918,29,technician,married,professional.course,1,0,1,telephone,may,mon,35,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3919,44,blue-collar,married,basic.6y,1,0,0,telephone,may,mon,668,7,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3921,37,services,divorced,high.school,1,0,1,telephone,may,mon,77,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3924,46,admin.,divorced,university.degree,1,1,1,telephone,may,mon,134,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3926,32,student,single,university.degree,1,1,1,telephone,may,mon,258,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3928,28,technician,divorced,professional.course,1,1,1,telephone,may,mon,71,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3930,32,admin.,single,professional.course,1,1,1,telephone,may,mon,131,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3932,38,blue-collar,married,basic.9y,1,0,0,telephone,may,mon,468,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3933,32,management,single,high.school,1,0,1,telephone,may,mon,326,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3934,34,admin.,single,high.school,1,1,0,telephone,may,mon,412,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3936,36,technician,married,university.degree,1,0,1,telephone,may,mon,277,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3939,44,blue-collar,divorced,basic.6y,1,1,1,telephone,may,mon,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3940,44,blue-collar,divorced,basic.9y,1,1,1,telephone,may,mon,169,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3941,37,admin.,married,high.school,1,0,1,telephone,may,mon,124,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3943,58,retired,divorced,university.degree,1,0,1,telephone,may,mon,83,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3944,28,services,single,high.school,1,0,1,telephone,may,mon,318,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3945,46,technician,married,professional.course,1,1,1,telephone,may,mon,29,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3946,48,admin.,married,high.school,1,0,1,telephone,may,mon,218,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3947,41,blue-collar,married,professional.course,1,1,1,telephone,may,mon,144,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3948,32,blue-collar,single,basic.6y,1,0,1,telephone,may,mon,130,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3949,48,technician,married,unknown,1,0,1,telephone,may,mon,429,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3950,49,management,married,university.degree,1,1,1,telephone,may,mon,27,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3951,27,services,single,high.school,1,0,1,telephone,may,mon,343,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3953,46,admin.,married,professional.course,1,1,1,telephone,may,mon,167,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3955,42,admin.,divorced,university.degree,1,1,1,telephone,may,mon,95,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3958,32,services,single,basic.6y,1,0,0,telephone,may,mon,112,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3960,33,admin.,married,professional.course,1,1,1,telephone,may,mon,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3961,50,blue-collar,married,basic.6y,1,1,1,telephone,may,mon,165,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3963,49,services,divorced,basic.9y,1,1,1,telephone,may,mon,134,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3965,45,services,married,basic.9y,1,1,0,telephone,may,mon,298,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3966,36,technician,married,professional.course,1,0,1,telephone,may,mon,188,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3967,38,blue-collar,married,basic.4y,1,1,1,telephone,may,mon,241,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3968,30,self-employed,single,high.school,1,0,1,telephone,may,mon,201,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3971,35,blue-collar,married,basic.6y,1,0,0,telephone,may,mon,68,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3972,36,technician,married,basic.6y,1,0,1,telephone,may,mon,82,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3974,41,management,married,university.degree,1,1,1,telephone,may,mon,97,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3975,37,blue-collar,married,basic.9y,1,0,1,telephone,may,mon,138,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3977,35,student,single,high.school,1,1,1,telephone,may,mon,135,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3978,57,technician,married,professional.course,1,0,1,telephone,may,mon,483,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,1
3979,28,admin.,single,university.degree,1,0,1,telephone,may,mon,267,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3980,54,housemaid,divorced,basic.4y,1,1,1,telephone,may,mon,382,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3984,30,student,single,basic.9y,1,1,1,telephone,may,mon,234,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3986,31,technician,married,university.degree,1,1,1,telephone,may,mon,95,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3987,45,blue-collar,married,unknown,1,0,0,telephone,may,mon,943,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,1
3988,42,blue-collar,married,basic.4y,1,0,1,telephone,may,mon,798,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3989,37,blue-collar,married,basic.6y,1,1,1,telephone,may,mon,168,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3992,50,services,married,basic.6y,1,0,1,telephone,may,mon,85,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3993,47,services,divorced,high.school,1,1,1,telephone,may,mon,143,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3994,44,unknown,married,basic.6y,1,0,0,telephone,may,mon,115,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3995,42,blue-collar,married,basic.9y,1,0,1,telephone,may,mon,23,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
3998,56,housemaid,married,basic.4y,1,1,1,telephone,may,mon,182,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4000,45,admin.,married,university.degree,1,1,1,telephone,may,mon,351,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4001,31,self-employed,married,university.degree,1,1,0,telephone,may,mon,179,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4002,39,housemaid,married,university.degree,1,1,1,telephone,may,mon,237,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4006,29,management,single,university.degree,1,0,0,telephone,may,mon,122,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4007,41,blue-collar,married,basic.9y,1,1,1,telephone,may,mon,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4008,35,admin.,married,university.degree,1,0,0,telephone,may,mon,67,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4009,29,services,married,basic.9y,1,0,1,telephone,may,mon,238,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4010,34,admin.,married,university.degree,1,1,1,telephone,may,mon,81,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4011,31,blue-collar,single,basic.9y,1,1,1,telephone,may,mon,496,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4012,36,technician,single,professional.course,1,1,0,telephone,may,mon,114,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4013,41,technician,married,university.degree,1,1,1,telephone,may,mon,156,5,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4016,31,blue-collar,married,basic.9y,1,0,1,telephone,may,mon,48,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4018,38,management,married,unknown,1,1,1,telephone,may,mon,610,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4019,32,blue-collar,divorced,basic.9y,1,1,1,telephone,may,mon,287,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4022,37,blue-collar,married,professional.course,1,1,1,telephone,may,mon,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4023,47,technician,married,professional.course,1,1,1,telephone,may,mon,202,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4024,28,blue-collar,married,basic.6y,1,1,1,telephone,may,mon,228,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4025,36,admin.,married,high.school,1,1,1,telephone,may,mon,192,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4026,32,admin.,married,university.degree,1,0,1,telephone,may,mon,23,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4027,36,blue-collar,single,high.school,1,0,0,telephone,may,mon,260,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4028,51,blue-collar,married,basic.4y,1,0,0,telephone,may,mon,387,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4029,32,admin.,married,high.school,1,1,1,telephone,may,mon,70,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4033,48,blue-collar,married,basic.9y,1,1,1,telephone,may,mon,607,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,1
4034,52,technician,divorced,basic.9y,1,0,0,telephone,may,mon,257,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4036,36,blue-collar,single,basic.9y,1,1,1,telephone,may,mon,214,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4037,48,admin.,married,university.degree,1,0,1,telephone,may,mon,105,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4039,28,admin.,single,high.school,1,1,1,telephone,may,mon,197,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4040,28,self-employed,single,basic.9y,1,1,1,telephone,may,mon,174,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4041,34,blue-collar,married,basic.6y,1,1,1,telephone,may,mon,144,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4042,39,admin.,married,basic.4y,1,1,1,telephone,may,mon,222,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4043,42,services,married,professional.course,1,1,1,telephone,may,mon,136,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4044,57,retired,married,basic.4y,1,0,1,telephone,may,mon,546,12,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4046,28,admin.,single,basic.9y,1,0,0,telephone,may,mon,335,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4047,25,self-employed,single,university.degree,1,1,1,telephone,may,mon,105,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4048,29,housemaid,single,high.school,1,1,1,telephone,may,mon,1203,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4049,28,services,married,high.school,1,1,1,telephone,may,mon,1022,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,1
4051,28,self-employed,married,professional.course,1,1,1,telephone,may,mon,258,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4052,32,admin.,married,high.school,1,1,1,telephone,may,mon,199,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
4055,55,admin.,married,university.degree,1,1,1,telephone,may,mon,201,14,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
